 |-Pesticide|                        1               2               3               4               5              6
  237 TEMIK LOCK 'N L     0.590000E+05    0.500000E+02    0.990000E+02    0.900000E+00    0.260000E+02    0.420000E+02
  238 Tenoran             0.300000E+01    0.110000E+03    0.150000E+02    0.400000E+00    0.282000E+04    0.150000E+02
  239 Terbutrex           0.220000E+02    0.380000E+02    0.500000E+01    0.500000E+00    0.286300E+04    0.800000E+01
  240 Terraclor 10%       0.000000E+00    0.600000E+02    0.100000E+02    0.800000E+00    0.460000E+04    0.180000E+02
  241 Terraneb SP         0.800000E+01    0.130000E+03    0.300000E+02    0.500000E+00    0.165000E+04    0.310000E+02
  242 TERRAZOLE 35WP      0.117000E+03    0.930000E+01    0.100000E+02    0.800000E+00    0.170000E+04    0.170000E+02
  243 Thimet              0.220000E+02    0.370000E+02    0.200000E+01    0.600000E+00    0.105700E+04    0.548000E+01
  244 THIODAN 50 WSB      0.000000E+00    0.270000E+02    0.300000E+01    0.500000E-01    0.124000E+05    0.510000E+02
  245 THIRAM 65W          0.170000E+02    0.152000E+02    0.800000E+01    0.500000E+00    0.670000E+03    0.150000E+02
  246 THISTROL            0.440000E+02    0.140000E+02    0.700000E+01    0.950000E+00    0.540000E+03    0.150000E+02
  247 TILLAM 6E           0.100000E+03    0.800000E+01    0.400000E+01    0.700000E+00    0.430000E+03    0.800000E+01
  248 TILT                0.100000E+03    0.530000E+02    0.300000E+02    0.700000E+00    0.648000E+03    0.220585E+04
  249 Tolban              0.000000E+00    0.110000E+03    0.100000E+01    0.350000E+00    0.100000E+05    0.150000E+02
  250 TOPSIN M WSB (7     0.400000E+01    0.600000E+01    0.500000E+01    0.400000E+00    0.183000E+04    0.490000E+02
  251 TORDON 22K 1 Ga     0.400000E+06    0.108000E+03    0.800000E+01    0.600000E+00    0.290000E+02    0.340000E+02
  252 TORDON 22K 30 G     0.400000E+06    0.108000E+03    0.800000E+01    0.600000E+00    0.290000E+02    0.720000E+02
  253 Toxaphene           0.000000E+00    0.500000E+03    0.200000E+01    0.500000E-01    0.400000E+06    0.140000E+02
  254 Tralomethrin        0.000000E+00    0.270000E+02    0.100000E+01    0.400000E+00    0.100000E+06    0.140000E+02
  255 Treflan 4.00EC      0.000000E+00    0.169000E+03    0.300000E+01    0.400000E+00    0.720000E+04    0.160900E+02
  256 Tre-Hold            0.105000E+03    0.100000E+02    0.500000E+01    0.400000E+00    0.300000E+03    0.150000E+02
  257 Trithion            0.100000E+01    0.300000E+02    0.600000E+01    0.700000E+00    0.500000E+05    0.150000E+02
  258 TUPERSAN            0.180000E+04    0.128000E+03    0.300000E+02    0.700000E+00    0.420000E+03    0.150000E+02
  259 Turflon             0.435000E+03    0.320000E+02    0.150000E+02    0.700000E+00    0.680000E+02    0.150000E+02
  260 Vapam               0.963000E+06    0.450000E+01    0.990000E+02    0.900000E+00    0.100000E+02    0.150000E+02
  261 VELPAR L            0.330000E+05    0.880000E+02    0.300000E+02    0.900000E+00    0.400000E+02    0.795700E+02
  262 VENDEX 4L           0.000000E+00    0.365000E+03    0.300000E+02    0.200000E+00    0.272100E+04    0.330000E+02
  263 VERNAM 7E           0.108000E+03    0.120000E+02    0.200000E+01    0.800000E+00    0.260000E+03    0.469000E+03
  264 Vitavax             0.195000E+03    0.100000E+01    0.990000E+02    0.900000E+00    0.123000E+03    0.500000E+01
  265 Volck oils          0.760000E+04    0.100000E+02    0.990000E+02    0.900000E+00    0.100000E+02    0.167000E+01
  266 Vorlex              0.760000E+04    0.100000E+02    0.990000E+02    0.900000E+00    0.100000E+02    0.800000E+01
  267 VYDATE CLV          0.282000E+06    0.150000E+02    0.400000E+01    0.950000E+00    0.900000E+01    0.458300E+02
  268 WEEDAR 64           0.231800E+05    0.550000E+01    0.900000E+01    0.450000E+00    0.480000E+02    0.280000E+02
  269 Weed-B-Gon          0.231800E+05    0.550000E+01    0.900000E+01    0.450000E+00    0.480000E+02    0.130000E+02
  270 WEEDONE 638         0.231800E+05    0.550000E+01    0.900000E+01    0.450000E+00    0.480000E+02    0.220000E+02
  271 Zolone              0.300000E+01    0.260000E+02    0.800000E+01    0.650000E+00    0.181600E+04    0.490000E+02
  272 PREP                0.124000E+07    0.700000E+01    0.500000E+01    0.950000E+00    0.100000E+01    0.160000E+02
  273 Accent              0.220000E+05    0.260000E+02    0.300000E+01    0.100000E+01    0.300000E+02    0.334740E+03
  274 Beacon              0.700000E+02    0.100000E+02    0.300000E+01    0.100000E+01    0.500000E+02    0.261720E+03
  275 AZTEC 2.1 50 LB     0.200000E+03    0.600000E+02    0.500000E+01    0.400000E+00    0.310000E+05    0.454500E+02
  276 Cotoran 4L          0.110000E+03    0.189000E+03    0.300000E+01    0.800000E+00    0.100000E+03    0.257500E+02
  277 ATRAZINE            0.330000E+02    0.146000E+03    0.500000E+01    0.450000E+00    0.147000E+03    0.795000E+01
  278 GRAMOXONE EXTRA     0.620000E+06    0.106700E+04    0.300000E+01    0.600000E+00    0.162000E+05    0.358300E+02
  279 ORTHENE 90WSP 2     0.818000E+06    0.300000E+01    0.250000E+01    0.700000E+00    0.300000E+01    0.526000E+01
  280 Peak                0.290000E+02    0.170000E+02    0.300000E+01    0.100000E+01    0.412000E+03    0.142140E+03
  281 PHORATE 20G         0.220000E+02    0.370000E+02    0.200000E+01    0.600000E+00    0.105700E+04    0.220000E+02
  282 Staple              0.728000E+03    0.600000E+02    0.300000E+01    0.100000E+01    0.700000E+02    0.205260E+03
  283 Provado             0.580000E+03    0.127000E+03    0.300000E+01    0.100000E+01    0.440000E+03    0.886130E+03
  284 Ginstar (Thiodi     0.200000E+02    0.100000E+02    0.300000E+01    0.100000E+01    0.110000E+03    0.232000E+03
  285 Ginstar (Diuron     0.420000E+02    0.900000E+02    0.300000E+02    0.450000E+00    0.477000E+03    0.100000E+02
  286 Exceed (Primisu     0.700000E+02    0.300000E+02    0.300000E+01    0.100000E+01    0.500000E+02    0.143000E+01
  287 Bicep II (Atraz     0.330000E+02    0.146000E+03    0.500000E+01    0.450000E+00    0.147000E+03    0.430000E+02
  288 Bicep II (Metol     0.488000E+03    0.260000E+02    0.500000E+01    0.600000E+00    0.700000E+02    0.110000E+02
  289 Fusion (Fenoxap     0.100000E+01    0.100000E+01    0.500000E+01    0.200000E+00    0.949000E+04    0.629560E+03
  290 Fusion (Fluazif     0.100000E+01    0.210000E+02    0.400000E+01    0.400000E+00    0.570000E+04    0.110000E+03
  291 Dipel DF            0.000000E+00    0.100000E+00    0.100000E+00    0.500000E+00    0.100000E+03    0.170000E+02
  292 Lariat (Alachlo     0.240000E+03    0.150000E+02    0.300000E+01    0.400000E+00    0.170000E+03    0.890000E+02
  293 Lariat (Atrazin     0.330000E+02    0.600000E+02    0.500000E+01    0.450000E+00    0.100000E+03    0.120000E+02
  294 Lasso (Alachlor     0.240000E+03    0.150000E+02    0.300000E+01    0.400000E+00    0.170000E+03    0.167600E+02
  295 Capture 1.15G (     0.000000E+00    0.260000E+02    0.700000E+01    0.400000E+00    0.240000E+06    0.921200E+04
  296 Dual Magnum         0.530000E+03    0.900000E+02    0.500000E+01    0.600000E+00    0.200000E+03    0.381200E+02
  297 Cadre               0.360000E+05    0.232000E+03    0.900000E+01    0.400000E+00    0.137000E+03    0.700000E-01
  298 Strongarm 84WP      0.600000E+01    0.750000E+02    0.300000E+01    0.400000E+00    0.550000E+02    0.211000E+01
  299 Ultra Blazer        0.250000E+06    0.140000E+02    0.500000E+01    0.950000E+00    0.113000E+03    0.960000E+02
  300 Storm (acifluor     0.250000E+06    0.140000E+02    0.500000E+01    0.950000E+00    0.113000E+03    0.186750E+03
  301 Storm (bentazon     0.230000E+07    0.200000E+02    0.200000E+01    0.600000E+00    0.340000E+02    0.285000E+03
  302 Abound              0.700000E+01    0.650000E+02    0.300000E+01    0.100000E+01    0.159000E+04    0.251000E+03
  303 Montero (flutol     0.100000E+02    0.116000E+03    0.300000E+01    0.100000E+01    0.800000E+03    0.310000E+02
  304 Montero (propic     0.110000E+03    0.110000E+03    0.300000E+02    0.700000E+00    0.100000E+04    0.480000E+02
  305 Stratego (trifl     0.100000E+01    0.500000E+01    0.500000E+01    0.400000E+00    0.270900E+04    0.166000E+03
  306 Stratego (propi     0.110000E+03    0.110000E+03    0.300000E+02    0.700000E+00    0.100000E+04    0.166000E+03
  307 SONALAN HFP         0.000000E+00    0.450000E+02    0.400000E+01    0.400000E+00    0.512000E+04    0.227100E+02
  308 FRONTIER 6.0 ST     0.117400E+04    0.200000E+02    0.500000E+01    0.400000E+00    0.160000E+03    0.377600E+02
  309 Blazer              0.250000E+06    0.300000E+02    0.500000E+01    0.950000E+00    0.113000E+03    0.870000E+02
  310 TOUGH 3.75 EC       0.200000E+01    0.600000E+01    0.300000E+01    0.100000E+01    0.190000E+03    0.513300E+02
  311 2, 4-DB             0.800000E+01    0.700000E+01    0.900000E+01    0.450000E+00    0.201000E+03    0.600000E+01
  312 POAST PLUS          0.439000E+04    0.500000E+01    0.300000E+01    0.700000E+00    0.100000E+03    0.133170E+03
  313 SELECT 2 EC         0.540000E+04    0.300000E+01    0.700000E+01    0.500000E+00    0.100000E+02    0.225110E+03
  314 Chlo-O-Pic (Chl     0.227000E+04    0.100000E+01    0.500000E+01    0.400000E+00    0.620000E+02    0.200000E+01
  315 TELONE C-35, C-     0.227000E+04    0.100000E+01    0.500000E+01    0.400000E+00    0.620000E+02    0.800000E+01
  316 TELONE C-35, C-     0.225000E+04    0.100000E+02    0.990000E+02    0.900000E+00    0.660000E+02    0.400000E+01
  317 SEVIN 80SP          0.110000E+03    0.170000E+02    0.700000E+01    0.550000E+00    0.288000E+03    0.430000E+02
  318 DANITOL 1 GAL       0.000000E+00    0.500000E+01    0.500000E+01    0.400000E+00    0.500000E+04    0.145000E+03
  319 OMITE 30W 2.5 L     0.100000E+01    0.560000E+02    0.500000E+01    0.200000E+00    0.400000E+04    0.400000E+02
  320 Di-Syston 15G       0.120000E+02    0.220000E+01    0.300000E+01    0.500000E+00    0.134500E+04    0.621000E+01
  321 LORSBAN 15G         0.100000E+01    0.305000E+02    0.330000E+01    0.650000E+00    0.993000E+04    0.570000E+01
  322 MOCAP 10G           0.843000E+03    0.240000E+02    0.990000E+02    0.900000E+00    0.104000E+03    0.260000E+02
